City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Bowen,AU,-20.0167,148.2333,75.74,79,47,10.51,scattered clouds
Puerto Madryn,AR,-42.7692,-65.0385,81.23,31,25,11.12,scattered clouds
Miracema Do Tocantins,BR,-9.5618,-48.3967,85.75,59,58,3.22,broken clouds
Nuevo Casas Grandes,MX,30.4167,-107.9167,49.75,58,34,4.0,scattered clouds
Butaritari,KI,3.0707,172.7902,81.61,74,100,12.26,overcast clouds
Mairang,IN,25.5667,91.6333,48.24,82,11,1.05,few clouds
Atar,MR,20.5169,-13.0499,84.16,10,0,17.63,clear sky
Bac Lieu,VN,9.285,105.7244,77.41,90,96,7.18,overcast clouds
Piacabucu,BR,-10.4056,-36.4344,81.95,67,92,13.29,overcast clouds
Chokwe,MZ,-24.5333,32.9833,85.87,36,41,8.03,scattered clouds
Cleethorpes,GB,53.5605,-0.0323,48.45,93,100,5.75,overcast clouds
Huarmey,PE,-10.0681,-78.1522,70.74,73,24,8.57,few clouds
Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,88,5.99,overcast clouds
Opuwo,NA,-18.0607,13.84,79.92,42,87,10.94,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,80,75,8.05,broken clouds
Upernavik,GL,72.7868,-56.1549,13.93,84,95,9.95,overcast clouds
Turukhansk,RU,65.8167,87.9833,-31.31,98,14,5.88,few clouds
Markova,UA,48.6758,24.4138,26.73,94,37,3.83,scattered clouds
Atambua,ID,-9.1061,124.8925,74.95,88,99,0.67,overcast clouds
Vardo,NO,70.3705,31.1107,33.78,86,75,2.3,broken clouds
Manaus,BR,-3.1019,-60.025,91.9,55,40,9.22,moderate rain
Sitka,US,57.0531,-135.33,43.03,93,100,5.19,light rain
Hasaki,JP,35.7333,140.8333,57.6,64,100,15.82,overcast clouds
Mareeba,AU,-17.0,145.4333,74.12,86,61,2.15,broken clouds
Tecoanapa,MX,16.5167,-98.75,85.33,59,2,2.06,clear sky
Vila Velha,BR,-20.3297,-40.2925,80.55,82,75,9.22,broken clouds
Gambat,PK,27.3515,68.5205,66.29,16,2,6.29,clear sky
Nokha,IN,27.6,73.4167,64.71,27,1,5.99,clear sky
Bukama,CD,-9.2,25.85,70.9,95,99,2.73,light rain
Kabalo,CD,-6.05,26.9167,67.89,99,100,3.09,moderate rain
Ostrovnoy,RU,68.0531,39.5131,35.92,80,100,8.84,overcast clouds
Bonavista,CA,48.6499,-53.1147,35.82,64,98,8.61,overcast clouds
Abalak,RU,58.1286,68.5944,-5.03,96,82,7.47,broken clouds
Santo Angelo,BR,-28.2992,-54.2631,73.72,88,100,16.11,overcast clouds
Berlevag,NO,70.8578,29.0864,30.2,86,75,8.05,broken clouds
Comrie,GB,56.3791,-3.9949,40.28,91,93,1.86,overcast clouds
San Ramon,US,37.7799,-121.978,55.9,57,17,3.06,few clouds
Miedzyrzec Podlaski,PL,51.9864,22.7825,28.29,97,34,4.03,scattered clouds
Coihaique,CL,-45.5752,-72.0662,65.01,85,97,9.08,overcast clouds
Kysyl-Syr,RU,63.8986,122.7617,-19.57,99,100,1.72,overcast clouds
Basco,PH,20.4487,121.9702,80.85,79,52,18.21,broken clouds
Aktau,KZ,43.65,51.2,55.92,66,100,14.56,overcast clouds
Diamantina,BR,-18.2494,-43.6003,71.29,65,100,4.36,overcast clouds
Camacha,PT,33.0833,-16.3333,65.62,83,40,11.5,scattered clouds
Urumqi,CN,43.801,87.6005,32.95,80,0,2.24,clear sky
Sabha,LY,27.0377,14.4283,60.75,23,0,5.91,clear sky
Chaozhou,CN,23.6651,116.6379,73.26,89,100,1.03,overcast clouds
Tabou,CI,4.423,-7.3528,82.11,71,60,7.36,broken clouds
Biskamzha,RU,53.4497,89.5272,24.3,94,100,12.15,light snow
Fortuna,US,40.5982,-124.1573,41.92,93,75,10.36,broken clouds
Chitral,PK,35.8462,71.7858,41.81,35,0,8.32,clear sky
Klaksvik,FO,62.2266,-6.589,34.72,68,100,17.83,overcast clouds
Tual,ID,-5.6667,132.75,84.42,66,68,2.37,broken clouds
Mecca,SA,21.4267,39.8261,81.1,60,39,4.99,scattered clouds
Roald,NO,62.5833,6.1333,39.76,41,0,16.11,clear sky
Korla,CN,41.7597,86.1469,35.82,37,18,4.43,few clouds
Mattru,SL,7.6244,-11.8332,82.22,70,75,4.92,broken clouds
Santa Cruz De Tenerife,ES,28.4682,-16.2546,73.27,77,75,6.91,broken clouds
Itatskiy,RU,56.07,89.0369,19.85,92,100,14.63,light snow
Mahajanga,MG,-15.7167,46.3167,82.42,74,20,10.36,few clouds
Srednekolymsk,RU,67.45,153.6833,-37.7,100,88,3.47,overcast clouds
Saskatoon,CA,52.1168,-106.6345,24.78,86,75,8.05,broken clouds
Nantucket,US,41.2835,-70.0995,48.09,55,0,8.23,clear sky
Broken Hill,AU,-31.95,141.4333,57.49,59,55,8.75,broken clouds
Kutum,SD,14.2,24.6667,74.03,19,25,10.6,scattered clouds
Batticaloa,LK,7.7102,81.6924,79.18,79,49,4.41,scattered clouds
Goderich,CA,43.7501,-81.7165,38.91,79,97,13.13,overcast clouds
Barrow,US,71.2906,-156.7887,14.02,85,100,19.57,light snow
Cuajinicuilapa,MX,16.4667,-98.4167,87.64,54,0,1.23,clear sky
Carnarvon,AU,-24.8667,113.6333,71.47,78,62,12.68,broken clouds
Dakar,SN,14.6937,-17.4441,97.68,33,0,16.11,clear sky
Karratha,AU,-20.7377,116.8463,80.06,56,20,6.76,few clouds
Kiruna,SE,67.8557,20.2251,2.32,85,100,0.0,mist
Esperance,AU,-33.8667,121.9,58.51,70,4,16.78,clear sky
Dunedin,NZ,-45.8742,170.5036,51.8,80,92,6.35,overcast clouds
Khani,GE,41.9563,42.9566,44.17,46,100,4.09,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,55.78,77,33,6.26,scattered clouds
Sao Sebastiao,BR,-23.76,-45.4097,81.79,68,100,4.94,overcast clouds
Provideniya,RU,64.3833,-173.3,3.34,85,99,11.48,overcast clouds
Balkanabat,TM,39.5108,54.3671,67.82,23,98,6.64,overcast clouds
Port Macquarie,AU,-31.4333,152.9167,51.89,69,64,4.65,broken clouds
Acari,PE,-15.4311,-74.6158,80.33,50,98,10.76,overcast clouds
Byron Bay,AU,-28.65,153.6167,60.51,72,81,4.54,broken clouds
Neuquen,AR,-38.9516,-68.0591,80.49,26,0,4.61,clear sky
Hede,CN,33.7681,120.2517,55.24,90,100,5.59,overcast clouds
Airai,TL,-8.9266,125.4092,62.44,89,100,2.39,overcast clouds
Udachnyy,RU,66.4167,112.4,-19.07,98,100,2.68,overcast clouds
Pascagoula,US,30.3658,-88.5561,60.73,73,100,6.76,overcast clouds
Lorengau,PG,-2.0226,147.2712,80.89,79,100,6.62,overcast clouds
Meulaboh,ID,4.1363,96.1285,75.83,89,99,3.91,overcast clouds
Solna,SK,49.2231,18.7394,38.79,88,0,4.61,clear sky
Nara,JP,34.6851,135.8049,56.52,59,98,3.18,overcast clouds
Havelock,US,34.8791,-76.9013,64.98,69,96,3.71,overcast clouds
Teya,RU,60.3778,92.6267,1.65,97,100,4.12,light snow
Tuatapere,NZ,-46.1333,167.6833,44.51,88,57,5.03,broken clouds
Chuy,UY,-33.6971,-53.4616,70.34,57,100,12.75,overcast clouds
Khandyga,RU,62.6667,135.6,-41.67,100,60,1.5,broken clouds
Plavinas,LV,56.6178,25.7255,21.04,90,24,4.65,few clouds
Bayan,CN,46.0833,127.4,20.57,57,38,5.19,scattered clouds
Saskylakh,RU,71.9167,114.0833,-35.82,100,44,1.25,scattered clouds
Devils Lake,US,48.1128,-98.8651,25.95,81,5,5.99,clear sky
Xixiang,CN,35.1628,112.865,48.04,87,19,4.32,few clouds
Hambantota,LK,6.1241,81.1185,76.84,80,14,9.95,few clouds
Cairns,AU,-16.9167,145.7667,78.75,78,40,3.44,scattered clouds
Nyurba,RU,63.2842,118.3319,-5.73,99,100,1.48,overcast clouds
Port Keats,AU,-14.25,129.55,78.58,82,100,0.4,light rain
Krasnoselkup,RU,65.7,82.4667,-24.66,99,23,8.95,few clouds
Rawson,AR,-43.3002,-65.1023,76.53,37,40,15.01,scattered clouds
Leningradskiy,RU,69.3833,178.4167,-16.76,88,99,10.8,overcast clouds
Arlit,NE,18.7369,7.3853,80.62,11,94,4.99,overcast clouds
Buala,SB,-8.145,159.5921,79.32,82,79,4.25,light rain
Antanifotsy,MG,-19.65,47.3167,61.12,88,82,5.35,light rain
Biak,ID,-0.9131,122.8766,77.7,82,100,2.01,overcast clouds
Alyangula,AU,-13.8483,136.4192,82.92,73,33,4.81,scattered clouds
Kaitangata,NZ,-46.2817,169.8464,45.16,95,79,5.3,broken clouds
Port Augusta,AU,-32.5,137.7667,56.93,76,0,8.88,clear sky
Codrington,AU,-38.2667,141.9667,51.62,88,100,12.73,overcast clouds
Beldanga,IN,23.9333,88.25,67.55,47,3,5.66,clear sky
Marrakesh,MA,31.6315,-8.0083,77.07,27,0,8.05,clear sky
Walvis Bay,NA,-22.9575,14.5053,66.72,63,24,16.11,few clouds
Payakumbuh,ID,-0.2202,100.6308,70.03,90,91,4.0,overcast clouds
Belmonte,BR,-15.8631,-38.8828,73.63,86,100,5.23,moderate rain
Vao,NC,-22.6667,167.4833,75.43,79,6,7.45,clear sky
Arrecife,ES,28.963,-13.5477,75.18,60,40,18.41,scattered clouds
Dubbo,AU,-32.25,148.6167,48.33,81,59,4.61,broken clouds
Lisala,CD,2.15,21.5167,71.56,97,78,0.58,light rain
Panshi,CN,42.9422,126.0561,26.71,79,100,2.98,overcast clouds
Honiara,SB,-9.4333,159.95,77.61,85,90,3.65,overcast clouds
Luwuk,ID,-0.9516,122.7875,78.91,84,100,2.57,overcast clouds
Namatanai,PG,-3.6667,152.4333,79.18,77,63,7.4,broken clouds
Kalmunai,LK,7.4167,81.8167,78.75,79,52,3.36,broken clouds
New Norfolk,AU,-42.7826,147.0587,48.7,65,56,5.01,broken clouds
Husavik,IS,66.0449,-17.3389,32.85,81,6,8.43,clear sky
Preili,LV,56.2944,26.7246,16.88,97,75,5.57,broken clouds
Hervey Bay,AU,-25.2986,152.8535,67.01,71,43,13.0,scattered clouds
Kozhevnikovo,RU,56.2589,83.9714,11.25,90,100,10.33,overcast clouds
Ornes,NO,66.8689,13.7078,31.26,55,100,8.01,overcast clouds
Nishihara,JP,26.1842,127.7558,74.48,97,75,9.22,broken clouds
Oriximina,BR,-1.7656,-55.8661,96.57,36,100,6.58,overcast clouds
Iqaluit,CA,63.7506,-68.5145,-0.29,97,95,4.09,overcast clouds
Killybegs,IE,54.6333,-8.45,46.11,84,68,5.95,broken clouds
Mount Gambier,AU,-37.8333,140.7667,51.58,88,100,7.72,overcast clouds
Linden,GY,6.0,-58.3,83.12,78,46,3.44,scattered clouds
General Pico,AR,-35.6566,-63.7568,80.98,19,2,2.64,clear sky
Goure,NE,13.9835,10.2704,78.26,9,4,9.24,clear sky
Alekseyevsk,RU,57.8406,108.3492,-3.23,99,100,2.59,overcast clouds
Sierra Vista,US,31.5545,-110.3037,57.78,41,0,9.22,clear sky
Bundaberg,AU,-24.85,152.35,65.21,91,36,1.01,scattered clouds
Pevek,RU,69.7008,170.3133,-24.05,100,100,4.36,overcast clouds
Kavieng,PG,-2.5744,150.7967,82.65,72,37,12.28,light rain
Labuhan,ID,-6.8844,112.2051,79.25,83,100,9.89,overcast clouds
Zhigansk,RU,66.7697,123.3711,-28.88,100,100,0.29,overcast clouds
Villazon,BO,-22.0866,-65.5942,66.04,27,65,14.03,broken clouds
Lasa,IT,46.6166,10.7002,38.7,93,100,10.18,overcast clouds
Peterhead,GB,57.5058,-1.7981,39.6,71,99,4.88,overcast clouds
Puerto Ayacucho,VE,5.6639,-67.6236,87.66,60,87,3.85,overcast clouds
Sakakah,SA,29.9697,40.2064,69.67,46,100,8.72,overcast clouds
Yuksekova,TR,37.5736,44.2872,49.75,29,75,11.5,broken clouds
Yar-Sale,RU,66.8333,70.8333,-20.45,98,17,5.88,few clouds
Ambilobe,MG,-13.2,49.05,74.16,90,100,3.24,light rain
Upanema,BR,-5.6419,-37.2578,97.65,21,48,8.21,scattered clouds
Ewa Beach,US,21.3156,-158.0072,75.15,73,0,11.01,clear sky
Bilibino,RU,68.0546,166.4372,-30.77,98,17,4.52,few clouds
Kursavka,RU,44.4564,42.5093,52.93,61,98,4.99,overcast clouds
Bandarbeyla,SO,9.4942,50.8122,78.91,71,0,18.75,clear sky
Energetik,RU,51.7445,58.7934,4.71,98,27,4.92,scattered clouds
Shache,CN,38.4167,77.2406,45.68,23,49,7.29,scattered clouds
Caravelas,BR,-17.7125,-39.2481,77.41,72,96,8.14,overcast clouds
Shenjiamen,CN,29.9576,122.298,60.71,84,68,23.15,broken clouds
La Grande,US,45.3246,-118.0877,37.17,55,100,9.95,overcast clouds
Osmena,PH,10.5208,119.9258,81.45,79,83,5.35,broken clouds
Sukhobuzimskoye,RU,56.5,93.2728,22.89,86,100,8.52,overcast clouds
Kahului,US,20.8947,-156.47,75.85,77,40,12.66,scattered clouds
Outjo,NA,-20.1167,16.15,87.01,22,56,14.45,broken clouds
Axim,GH,4.8699,-2.2405,81.25,77,16,9.22,light rain
Ixtapa,MX,20.7,-105.2,84.76,50,12,3.83,few clouds
Bethel,US,41.3712,-73.414,47.46,48,2,1.99,clear sky
Panguipulli,CL,-39.6333,-72.3333,78.66,34,67,5.23,broken clouds
Oranjemund,NA,-28.55,16.4333,63.93,71,0,11.23,clear sky
Bushehr,IR,28.9684,50.8385,77.52,58,0,5.66,clear sky
Orlik,RU,52.5178,99.825,-6.2,93,38,2.15,scattered clouds
Pingliang,CN,35.5392,106.6861,38.93,70,62,2.73,broken clouds
Sola,VU,-13.8833,167.55,82.06,75,41,12.19,scattered clouds
Riberalta,BO,-10.9833,-66.1,73.13,99,100,2.93,overcast clouds
Sinnamary,GF,5.3833,-52.95,83.25,70,92,12.93,overcast clouds
Celestun,MX,20.8667,-90.4,82.42,69,74,6.67,broken clouds
Krasnoarmeysk,RU,51.0239,45.6969,37.51,99,100,8.93,overcast clouds
Sterling,US,39.0062,-77.4286,56.28,26,0,3.44,clear sky
Atasu,KZ,48.6814,71.6433,19.22,97,97,3.11,overcast clouds
Clinton,US,42.587,-82.9199,44.94,61,80,1.99,broken clouds
Gold Coast,AU,-28.0,153.4333,66.0,79,83,3.44,broken clouds
Borovichi,RU,58.3878,33.9155,25.72,95,100,9.19,light snow
Port Elizabeth,ZA,-33.918,25.5701,70.32,76,75,10.36,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,68.13,33,37,5.61,scattered clouds
Samarai,PG,-10.6167,150.6667,82.6,73,2,13.56,clear sky
Ahipara,NZ,-35.1667,173.1667,57.34,82,75,20.38,broken clouds
Dodoma,TZ,-6.1722,35.7395,76.78,49,100,7.36,overcast clouds
Leshukonskoye,RU,64.8989,45.7622,14.81,97,90,3.02,overcast clouds
Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,10.36,scattered clouds
Tianpeng,CN,30.9866,103.9393,62.73,53,95,2.33,overcast clouds
Chiredzi,ZW,-21.05,31.6667,83.17,32,64,6.11,broken clouds
Batagay-Alyta,RU,67.8006,130.4114,-26.18,89,88,3.47,overcast clouds
Merauke,ID,-8.4667,140.3333,79.9,85,21,7.76,few clouds
Tecpatan,MX,17.1333,-93.3,68.43,98,100,4.09,light rain
Shingu,JP,33.7333,135.9833,57.07,84,86,4.12,overcast clouds
Kemijarvi,FI,66.7131,27.4306,8.46,96,35,2.21,scattered clouds
Charters Towers,AU,-20.1,146.2667,74.55,82,13,11.16,few clouds
Madaoua,NE,14.073,5.96,81.93,10,71,10.16,broken clouds
Anadyr,RU,64.75,177.4833,-25.47,96,51,7.65,broken clouds
Lazaro Cardenas,MX,17.9583,-102.2,84.74,61,2,1.1,clear sky
Faanui,PF,-16.4833,-151.75,78.33,79,11,2.75,few clouds
Egvekinot,RU,66.3167,-179.1667,-22.23,82,6,10.16,clear sky
Northam,GB,51.0333,-4.2167,48.25,83,53,14.27,broken clouds
Den Helder,NL,52.9599,4.7593,44.98,88,100,14.0,overcast clouds
Kovdor,RU,67.5662,30.4758,7.57,98,62,1.05,broken clouds
Ust-Kuyga,RU,70.0167,135.6,-40.05,100,98,4.63,overcast clouds
Ust-Karsk,RU,52.7011,118.8077,-7.29,100,86,2.89,overcast clouds
Fort Saint James,CA,54.4333,-124.25,27.18,99,100,0.78,overcast clouds
Sapouy,BF,11.5544,-1.7736,89.01,16,59,6.4,broken clouds
Ust-Tarka,RU,55.5672,75.705,-1.55,91,99,13.87,overcast clouds
Araxa,BR,-19.5933,-46.9406,80.56,54,20,4.61,few clouds
Tiarei,PF,-17.5333,-149.3333,78.82,83,38,12.5,light rain
Saint-Leu,RE,-21.15,55.2833,77.86,83,100,2.64,light rain
Monticello,US,45.3055,-93.7941,33.91,75,0,5.75,clear sky
Alghero,IT,40.5589,8.3181,59.09,58,75,23.02,broken clouds
Yevsino,RU,54.4172,83.3222,14.13,91,100,14.36,overcast clouds
Qasigiannguit,GL,68.8193,-51.1922,21.45,85,100,5.68,overcast clouds
The Valley,AI,18.217,-63.0578,84.34,70,40,19.57,scattered clouds
Tefe,BR,-3.3542,-64.7114,84.31,79,20,9.22,few clouds
Sao Felix Do Xingu,BR,-6.6447,-51.995,90.0,45,62,2.82,broken clouds
Gwadar,PK,25.1216,62.3254,78.26,36,2,6.17,clear sky
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.73,71,100,12.01,overcast clouds
Clyde River,CA,70.4692,-68.5914,7.03,72,100,29.93,haze
Totma,RU,59.9747,42.7642,16.56,68,100,5.01,overcast clouds
Woodburn,US,45.1437,-122.8554,46.62,74,100,1.01,mist
Ceres,US,37.5949,-120.9577,54.05,81,0,0.0,haze
Salinopolis,BR,-0.6136,-47.3561,84.99,68,62,13.35,broken clouds
Troitskoye,RU,52.9821,84.6757,19.62,85,100,15.1,overcast clouds
Prabumulih,ID,-3.45,104.25,73.4,96,93,2.35,heavy intensity rain
Kashi,CN,39.4547,75.9797,45.81,23,79,1.57,broken clouds
Kosai,JP,34.7105,137.5316,61.93,78,100,10.58,overcast clouds
Madawaska,US,47.3561,-68.3288,29.48,58,0,17.27,clear sky
Homer,US,59.6425,-151.5483,37.29,93,100,0.0,mist
Santa Isabel,BR,-23.3156,-46.2214,87.51,44,100,4.0,overcast clouds
Pacific Grove,US,36.6177,-121.9166,58.42,43,0,5.99,clear sky
East London,ZA,-33.0153,27.9116,68.54,86,99,2.84,overcast clouds
Scoarta,RO,45.0167,23.45,43.21,77,100,6.22,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,73.71,70,83,3.89,broken clouds
Jining,CN,35.405,116.5814,47.86,90,95,3.71,overcast clouds
